Year	TerrYr	Terr	n	Tract	Include	ContinuityNum
1997	007697	0076	5	Demo	TRUE	2
1997	044397	0443	2	Demo	TRUE	1
1997	015597	0155	2	Demo	TRUE	1
1997	008397	0083	3	Demo	TRUE	1
1997	010397	0103	2	Demo	TRUE	1
1997	014997	0149	3	Demo	TRUE	1
1997	024697	0246	2	Demo	TRUE	1
1997	008297	0082	9	Demo	TRUE	3
1997	011197	0111	5	Demo	TRUE	1
1997	014897	0148	5	Demo	TRUE	1
1997	008997	0089	2	Demo	TRUE	2
1997	003497	0034	4	Demo	TRUE	1
1997	011097	0110	2	Demo	TRUE	2
1997	027297	0272	3	Demo	TRUE	2
1997	008197	0081	7	Demo	TRUE	1
1997	008597	0085	6	Demo	TRUE	2
1997	007797	0077	7	Demo	TRUE	2
1997	014797	0147	7	Demo	TRUE	2
1997	015397	0153	2	Demo	TRUE	1
1997	018697	0186	5	Demo	TRUE	1
1997	009297	0092	2	Demo	TRUE	2
1997	006797	0067	6	Demo	TRUE	1
1997	003697	0036	6	Demo	TRUE	2
1997	006997	0069	5	Demo	TRUE	2
1997	006197	0061	8	Demo	TRUE	2
1997	002997	0029	7	Demo	TRUE	2
1997	003297	0032	8	Demo	TRUE	2
1997	007597	0075	5	Demo	TRUE	1
1997	001097	0010	8	Demo	TRUE	1
1997	006897	0068	7	Demo	TRUE	2
1997	011597	0115	2	Demo	TRUE	1
1997	007497	0074	5	Demo	TRUE	1
1997	045797	0457	2	Demo	TRUE	1
1997	007897	0078	9	Demo	TRUE	2
1997	020597	0205	6	Demo	TRUE	1
1997	004497	0044	8	Demo	TRUE	1
1997	005997	0059	9	Demo	TRUE	1
1997	003997	0039	5	Demo	TRUE	1
1997	011297	0112	4	Demo	TRUE	2
1997	008697	0086	3	Demo	TRUE	2
1997	001297	0012	7	Demo	TRUE	1
1997	004397	0043	3	Demo	TRUE	2
1997	000497	0004	2	Demo	TRUE	1
1997	011497	0114	8	Demo	TRUE	1
1997	046397	0463	5	Demo	TRUE	1
1997	014397	0143	4	Demo	TRUE	2
1997	027097	0270	2	Demo	TRUE	2
1997	046997	0469	2	Demo	TRUE	1
1997	009597	0095	2	Demo	TRUE	4
1997	047097	0470	3	Demo	TRUE	2
1997	007997	0079	6	Demo	TRUE	2
1997	001897	0018	5	Demo	TRUE	1
1997	004797	0047	3	Demo	TRUE	2
1997	003797	0037	8	Demo	TRUE	1
1997	000797	0007	5	Demo	TRUE	1
1997	002897	0028	3	Demo	TRUE	2
1998	001398	0013	3	Demo	TRUE	1
1998	014498	0144	2	Demo	TRUE	2
1998	008098	0080	6	Demo	TRUE	2
1998	002698	0026	2	Demo	TRUE	2
1998	007098	0070	2	Demo	TRUE	5
1998	009398	0093	4	Demo	TRUE	2
1998	011798	0117	2	Demo	TRUE	2
1998	007198	0071	2	Demo	TRUE	2
1998	005798	0057	2	Demo	TRUE	2
1998	006398	0063	2	Demo	TRUE	2
1998	000398	0003	4	Demo	TRUE	1
1998	022098	0220	6	Demo	TRUE	1
1998	006698	0066	7	Demo	TRUE	1
1998	007698	0076	5	Demo	TRUE	2
1998	015598	0155	2	Demo	TRUE	1
1998	008398	0083	2	Demo	TRUE	1
1998	010398	0103	9	Demo	TRUE	1
1998	014998	0149	3	Demo	TRUE	1
1998	024698	0246	2	Demo	TRUE	1
1998	008298	0082	7	Demo	TRUE	3
1998	011198	0111	7	Demo	TRUE	2
1998	014898	0148	3	Demo	TRUE	1
1998	008998	0089	2	Demo	TRUE	3
1998	011098	0110	6	Demo	TRUE	3
1998	008198	0081	2	Demo	TRUE	2
1998	006298	0062	2	Demo	TRUE	2
1998	008598	0085	5	Demo	TRUE	2
1998	007798	0077	3	Demo	TRUE	2
1998	014798	0147	2	Demo	TRUE	3
1998	015398	0153	6	Demo	TRUE	1
1998	018698	0186	3	Demo	TRUE	1
1998	009298	0092	1	Demo	NA	2
1998	006798	0067	4	Demo	TRUE	1
1998	006998	0069	2	Demo	TRUE	2
1998	006198	0061	4	Demo	TRUE	2
1998	002998	0029	6	Demo	TRUE	2
1998	006898	0068	3	Demo	TRUE	2
1998	011598	0115	5	Demo	TRUE	1
1998	007498	0074	2	Demo	TRUE	2
1998	007898	0078	3	Demo	TRUE	2
1998	020598	0205	2	Demo	TRUE	1
1998	004498	0044	2	Demo	TRUE	1
1998	005998	0059	4	Demo	TRUE	1
1998	003998	0039	7	Demo	TRUE	1
1998	011298	0112	4	Demo	TRUE	2
1998	004398	0043	2	Demo	NA	3
1998	000498	0004	6	Demo	TRUE	1
1998	011498	0114	8	Demo	TRUE	1
1998	014398	0143	3	Demo	TRUE	2
1998	027098	0270	4	Demo	TRUE	2
1998	009598	0095	5	Demo	TRUE	4
1998	047098	0470	2	Demo	TRUE	2
1998	007998	0079	3	Demo	TRUE	2
1998	004798	0047	6	Demo	TRUE	2
1998	003798	0037	2	Demo	TRUE	1
1998	000798	0007	7	Demo	TRUE	1
1999	001399	0013	5	Demo	TRUE	1
1999	008099	0080	7	Demo	TRUE	2
1999	002699	0026	2	Demo	TRUE	2
1999	007099	0070	4	Demo	TRUE	5
1999	009399	0093	5	Demo	TRUE	2
1999	001499	0014	3	Demo	TRUE	1
1999	011799	0117	6	Demo	TRUE	2
1999	007199	0071	4	Demo	TRUE	3
1999	015799	0157	2	Demo	TRUE	1
1999	006399	0063	6	Demo	TRUE	2
1999	000399	0003	5	Demo	TRUE	1
1999	022099	0220	6	Demo	TRUE	1
1999	006699	0066	8	Demo	TRUE	1
1999	007699	0076	7	Demo	TRUE	2
1999	015599	0155	7	Demo	TRUE	1
1999	008399	0083	5	Demo	TRUE	1
1999	010399	0103	6	Demo	TRUE	1
1999	014999	0149	3	Demo	TRUE	1
1999	024699	0246	2	Demo	TRUE	1
1999	008299	0082	8	Demo	TRUE	3
1999	011199	0111	3	Demo	TRUE	2
1999	014899	0148	5	Demo	TRUE	1
1999	008999	0089	4	Demo	TRUE	3
1999	011099	0110	7	Demo	TRUE	3
1999	008199	0081	5	Demo	TRUE	2
1999	006299	0062	4	Demo	TRUE	2
1999	008599	0085	5	Demo	TRUE	2
1999	007799	0077	3	Demo	TRUE	2
1999	014799	0147	3	Demo	TRUE	3
1999	015399	0153	8	Demo	TRUE	1
1999	018699	0186	6	Demo	TRUE	1
1999	006799	0067	3	Demo	TRUE	1
1999	006999	0069	5	Demo	TRUE	2
1999	006199	0061	6	Demo	TRUE	2
1999	002999	0029	7	Demo	TRUE	2
1999	003299	0032	5	Demo	TRUE	3
1999	007599	0075	2	Demo	TRUE	2
1999	001099	0010	2	Demo	TRUE	2
1999	006899	0068	6	Demo	TRUE	2
1999	011599	0115	6	Demo	TRUE	1
1999	024999	0249	2	Demo	TRUE	1
1999	007899	0078	7	Demo	TRUE	2
1999	020599	0205	4	Demo	TRUE	1
1999	004499	0044	5	Demo	TRUE	1
1999	005999	0059	6	Demo	TRUE	1
1999	003999	0039	8	Demo	TRUE	1
1999	015999	0159	5	Demo	TRUE	1
1999	011299	0112	4	Demo	TRUE	2
1999	000499	0004	9	Demo	TRUE	1
1999	011499	0114	3	Demo	TRUE	1
1999	014399	0143	3	Demo	TRUE	2
1999	027099	0270	6	Demo	TRUE	2
1999	009599	0095	2	Demo	TRUE	4
1999	007999	0079	4	Demo	TRUE	2
1999	000799	0007	7	Demo	TRUE	1
2000	001300	0013	6	Demo	TRUE	1
2000	014400	0144	2	Demo	TRUE	3
2000	008000	0080	7	Demo	TRUE	2
2000	002600	0026	7	Demo	TRUE	2
2000	007000	0070	3	Demo	TRUE	6
2000	001400	0014	4	Demo	TRUE	1
2000	011700	0117	8	Demo	TRUE	2
2000	007100	0071	4	Demo	TRUE	3
2000	015700	0157	3	Demo	TRUE	1
2000	006300	0063	6	Demo	TRUE	2
2000	000300	0003	8	Demo	TRUE	1
2000	022000	0220	7	Demo	TRUE	1
2000	006600	0066	4	Demo	TRUE	1
2000	007600	0076	4	Demo	TRUE	2
2000	010300	0103	5	Demo	TRUE	1
2000	014900	0149	2	Demo	TRUE	1
2000	024600	0246	2	Demo	TRUE	1
2000	008200	0082	5	Demo	TRUE	3
2000	011100	0111	4	Demo	TRUE	2
2000	011000	0110	10	Demo	TRUE	3
2000	044800	0448	2	Demo	TRUE	1
2000	008100	0081	6	Demo	TRUE	2
2000	006200	0062	6	Demo	TRUE	2
2000	008500	0085	7	Demo	TRUE	2
2000	007700	0077	2	Demo	TRUE	2
2000	015300	0153	10	Demo	TRUE	1
2000	006700	0067	5	Demo	TRUE	1
2000	006900	0069	2	Demo	TRUE	2
2000	006100	0061	7	Demo	TRUE	2
2000	002900	0029	5	Demo	TRUE	2
2000	012700	0127	8	Demo	TRUE	3
2000	003200	0032	3	Demo	TRUE	3
2000	001000	0010	3	Demo	TRUE	3
2000	006800	0068	6	Demo	TRUE	2
2000	011500	0115	10	Demo	TRUE	1
2000	007800	0078	6	Demo	TRUE	2
2000	020500	0205	5	Demo	TRUE	1
2000	004400	0044	5	Demo	TRUE	1
2000	005900	0059	6	Demo	TRUE	1
2000	003900	0039	3	Demo	TRUE	1
2000	015900	0159	6	Demo	TRUE	1
2000	046000	0460	2	Demo	TRUE	1
2000	011200	0112	8	Demo	TRUE	2
2000	000400	0004	4	Demo	TRUE	1
2000	011400	0114	2	Demo	TRUE	1
2000	014300	0143	1	Demo	NA	3
2000	027000	0270	4	Demo	TRUE	2
2000	009500	0095	2	Demo	TRUE	4
2000	007900	0079	5	Demo	TRUE	2
2000	000700	0007	9	Demo	TRUE	1
2001	001301	0013	7	Demo	TRUE	1
2001	014401	0144	7	Demo	TRUE	3
2001	008001	0080	3	Demo	TRUE	2
2001	002601	0026	9	Demo	TRUE	2
2001	007001	0070	2	Demo	TRUE	6
2001	001401	0014	2	Demo	NA	1
2001	011701	0117	7	Demo	TRUE	2
2001	007101	0071	2	Demo	TRUE	3
2001	015701	0157	5	Demo	TRUE	1
2001	006301	0063	7	Demo	TRUE	2
2001	000301	0003	3	Demo	TRUE	1
2001	022001	0220	4	Demo	TRUE	1
2001	006601	0066	6	Demo	TRUE	1
2001	007601	0076	6	Demo	TRUE	2
2001	010301	0103	6	Demo	TRUE	1
2001	014901	0149	4	Demo	TRUE	1
2001	024601	0246	2	Demo	TRUE	1
2001	008201	0082	4	Demo	TRUE	3
2001	011101	0111	4	Demo	TRUE	2
2001	011001	0110	9	Demo	TRUE	3
2001	008101	0081	7	Demo	TRUE	2
2001	006201	0062	5	Demo	TRUE	2
2001	015301	0153	5	Demo	TRUE	1
2001	006701	0067	8	Demo	TRUE	1
2001	006901	0069	2	Demo	TRUE	2
2001	006101	0061	6	Demo	TRUE	2
2001	002901	0029	3	Demo	TRUE	2
2001	003201	0032	5	Demo	TRUE	3
2001	001001	0010	3	Demo	TRUE	3
2001	006801	0068	3	Demo	TRUE	2
2001	011501	0115	5	Demo	TRUE	1
2001	007801	0078	5	Demo	TRUE	2
2001	020501	0205	6	Demo	TRUE	1
2001	004401	0044	6	Demo	TRUE	2
2001	005901	0059	9	Demo	TRUE	1
2001	003901	0039	7	Demo	TRUE	1
2001	015901	0159	5	Demo	TRUE	1
2001	011201	0112	3	Demo	TRUE	2
2001	000401	0004	4	Demo	TRUE	1
2001	011401	0114	6	Demo	TRUE	1
2001	027001	0270	5	Demo	TRUE	2
2001	009501	0095	3	Demo	TRUE	4
2001	012501	0125	2	Demo	TRUE	4
2001	000701	0007	5	Demo	TRUE	1
2002	030402	0304	2	Demo	TRUE	1
2002	043102	0431	2	Demo	TRUE	1
2002	001302	0013	8	Demo	TRUE	1
2002	014402	0144	5	Demo	TRUE	3
2002	007002	0070	3	Demo	TRUE	6
2002	018502	0185	3	Demo	TRUE	1
2002	011702	0117	6	Demo	TRUE	2
2002	007102	0071	4	Demo	TRUE	3
2002	015702	0157	6	Demo	TRUE	1
2002	006302	0063	5	Demo	TRUE	2
2002	000302	0003	4	Demo	TRUE	2
2002	006602	0066	5	Demo	TRUE	1
2002	007602	0076	8	Demo	TRUE	2
2002	015502	0155	6	Demo	TRUE	2
2002	010302	0103	5	Demo	TRUE	1
2002	008202	0082	8	Demo	TRUE	4
2002	011002	0110	6	Demo	TRUE	3
2002	008102	0081	4	Demo	TRUE	2
2002	015302	0153	7	Demo	TRUE	1
2002	018602	0186	4	Demo	TRUE	1
